INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechRESSecondaryOutput,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,res.secondary.output,output.ratio
Colombia,electricity,wind,wind,1975,ELEC_RPS,1
Colombia,electricity,wind,wind,1990,ELEC_RPS,1
Colombia,electricity,wind,wind,2005,ELEC_RPS,1
Colombia,electricity,wind,wind,2010,ELEC_RPS,1
Colombia,electricity,wind,wind,2015,ELEC_RPS,1
Colombia,electricity,wind,wind,2020,ELEC_RPS,1
Colombia,electricity,wind,wind,2025,ELEC_RPS,1
Colombia,electricity,wind,wind,2030,ELEC_RPS,1
Colombia,electricity,wind,wind,2035,ELEC_RPS,1
Colombia,electricity,wind,wind,2040,ELEC_RPS,1
Colombia,electricity,wind,wind,2045,ELEC_RPS,1
Colombia,electricity,wind,wind,2050,ELEC_RPS,1
Colombia,electricity,wind,wind,2055,ELEC_RPS,1
Colombia,electricity,wind,wind,2060,ELEC_RPS,1
Colombia,electricity,wind,wind,2065,ELEC_RPS,1
Colombia,electricity,wind,wind,2070,ELEC_RPS,1
Colombia,electricity,wind,wind,2075,ELEC_RPS,1
Colombia,electricity,wind,wind,2080,ELEC_RPS,1
Colombia,electricity,wind,wind,2085,ELEC_RPS,1
Colombia,electricity,wind,wind,2090,ELEC_RPS,1
Colombia,electricity,wind,wind,2095,ELEC_RPS,1
Colombia,electricity,wind,wind,2100,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,1975,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,1990,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2005,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2010,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2015,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2020,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2025,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2030,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2035,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2040,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2045,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2050,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2055,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2060,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2065,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2070,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2075,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2080,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2085,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2090,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2095,ELEC_RPS,1
Colombia,electricity,wind,wind_storage,2100,ELEC_RPS,1
Colombia,electricity,solar,PV,1975,ELEC_RPS,1
Colombia,electricity,solar,PV,1990,ELEC_RPS,1
Colombia,electricity,solar,PV,2005,ELEC_RPS,1
Colombia,electricity,solar,PV,2010,ELEC_RPS,1
Colombia,electricity,solar,PV,2015,ELEC_RPS,1
Colombia,electricity,solar,PV,2020,ELEC_RPS,1
Colombia,electricity,solar,PV,2025,ELEC_RPS,1
Colombia,electricity,solar,PV,2030,ELEC_RPS,1
Colombia,electricity,solar,PV,2035,ELEC_RPS,1
Colombia,electricity,solar,PV,2040,ELEC_RPS,1
Colombia,electricity,solar,PV,2045,ELEC_RPS,1
Colombia,electricity,solar,PV,2050,ELEC_RPS,1
Colombia,electricity,solar,PV,2055,ELEC_RPS,1
Colombia,electricity,solar,PV,2060,ELEC_RPS,1
Colombia,electricity,solar,PV,2065,ELEC_RPS,1
Colombia,electricity,solar,PV,2070,ELEC_RPS,1
Colombia,electricity,solar,PV,2075,ELEC_RPS,1
Colombia,electricity,solar,PV,2080,ELEC_RPS,1
Colombia,electricity,solar,PV,2085,ELEC_RPS,1
Colombia,electricity,solar,PV,2090,ELEC_RPS,1
Colombia,electricity,solar,PV,2095,ELEC_RPS,1
Colombia,electricity,solar,PV,2100,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,1975,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,1990,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2005,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2010,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2015,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2020,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2025,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2030,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2035,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2040,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2045,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2050,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2055,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2060,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2065,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2070,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2075,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2080,ELEC_RPS,1
Colombia,electricity,solar,PV_storage,2085,ELEC_RPS,1
